Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"416932";"S/N7867825S/NS/NS/N157";"ADMSERV BENEFÍCIOS E SERVIÇOS LTDA";"GÉIA ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"Avenida Valdemar Ferreira";"463";;"Butantã";"São Paulo";"SP";"S/N55S/N1S/NS/NS/N";"11";"366S/N2S/NS/NS/N";"366S/N2S/NS/NS/N";"sandra@geia.com.br";"PEDRO OLIVEIRA OBLIZINER";"SÓCIO ADMINISTRADOR";2;"2S/NS/N9-S/N3-3S/N"
"422347";"372S/N1454S/NS/NS/N13S/N";"ADRESS ADMINISTRADORA DE BENEFICIOS LTDA";"ADRESS";"Administradora de Benefícios";"AVENIDA RIO BRANCO";"125";"15º ANDAR  SALA 15S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N4S/NS/NS/N6";"21";"22524S/N66";;"contato@adress.com.br";"LAIR ISABEL BOHRER DIEDAM";"SÓCIA ADMINISTRADORA";6;"2S/N2S/N-S/N9-S/N3"
"335657";"S/N2S/N418S/N8S/NS/NS/N142";"ADVANCE PLANOS DE SAÚDE LTDA";;"Medicina de Grupo";"RUA DOS BURITIS";"128";"SALA 2S/N2 - CENTRO EMPRESARIAL ZONA SUL";"JABAQUARA";"São Paulo";"SP";"S/N4321S/NS/NS/N";;;;"planosdesaude@advanceplanos.com.br";"JOSÉ JAIR JAMES DE ARRUDA PINTO";"ADMINISTRADOR";4;"1998-12-28"
"413283";"S/N3694367S/NS/NS/N14S/N";"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP";;"Odontologia de Grupo";"ALAMEDA GRAJAÚ";"6S/N";"SALA 2814";"ALPHAVILLE INDUSTRIAL";"Barueri";"SP";"S/N6454S/N5S/N";"S/N1";"168135656";"168135656";"aespodonto@aespodonto.com.br";"CARLOS EUGENIO PORTO BRAGA";"ADMINISTRADOR";4;"2S/NS/N1-S/N3-S/N7"
"4199S/N7";"2289164S/NS/NS/NS/N171";"AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA";"AFFIANCE LIFE BENEFÍCIOS";"Administradora de Benefícios";"AVENIDA FONSO PENA ";"867";"23º ANDAR - SALAS 23S/N1 A  23S/N5";"CENTRO";"Belo Horizonte";"MG";"3S/N13S/N9S/N5";"31";"98148128";;"atendimento@affiancelife.com.br";"FABIANA DA SILVA CARDOSO";"ADMINISTRADORA NÃO SÓCIA";4;"2S/N15-S/N9-23"
"417424";"11158465S/NS/NS/N191";"AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA";"AFFIX BENEFÍCIOS";"Administradora de Benefícios";"Alameda Santos";"2441";"Conjuntos 41 e 42. 4º andar. Sala admini";"Cerqueira César";"São Paulo";"SP";"S/N14191S/N1";"11";"39952217";;"pedro.rezende@affixbeneficios.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"SóCIO ADMINISTRADOR";1;"2S/N1S/N-S/N7-16"
"36892S/N";"2S/N32S/N487S/NS/NS/N1S/N5";"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL";;"Autogestão";"AVENIDA PURDUE";"S/N";;"CAMPUS DA UFV";"Viçosa";"MG";"3657S/N9S/NS/N";"31";"3899655S/N";"3899655S/N";"institucional@agros.org.br";"CLAUDIO FURTADO SOARES";"DIRETOR PRESIDENTE";4;"1998-12-18"
"424285";"5752236S/NS/NS/NS/N17S/N";"AIRES OPERADORA DE SAUDE LTDA";"AIRES OPERADORA DE SAUDE ";"Medicina de Grupo";"AVENIDA PRESIDENTE KENNEDY";"1S/NS/N1.S/N";"BLOCO D";"PEIXINHOS";"Olinda";"PE";"5323S/N971";"81";"992463135";;"jjppcc@gmail.com";"JOSE PEREIRA DA COSTA";"ADMINISTRADOR";;"2S/N24-12-16"
"417742";"1S/N387254S/NS/NS/N168";"ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS";;"Administradora de Benefícios";"AVENIDA RIO BRANCO";"131";"1S/Nª ANDAR - PARTE";"CENTRO";"Rio de Janeiro";"RJ";"21S/N4S/NS/NS/N6";"21";"25S/N545S/NS/N";;"RODRIGO.PEIXOTO@ALACORO.COM.BR";"ANADIA BIENHACHEWSKI FERREIRA ALVES";"DIRETORA PRESIDENTE";6;"2S/N1S/N-12-2S/N"
"416975";"S/N6258813S/NS/NS/N162";"ALCANCE SAÚDE LTDA";"ALCANCE SAÚDE";"Medicina de Grupo";"RUA CUSSY DE ALMEIDA JUNIOR";"1931";;"SAO JOAO";"Araçatuba";"SP";"16S/N25S/N5S/N";;;;"reginaldo.alcancesaude@gmail.com";"VALDECIR DONIZETE LOCATELLI";"REPRESENTANTE";6;"2S/NS/N9-S/N7-S/N3"
"421928";"34266553S/NS/NS/N1S/N2";"ALICE OPERADORA LTDA.";"ALICE";"Medicina de Grupo";"Avenida Rebouças ";"3535";;"Pinheiros";"São Paulo";"SP";"S/N54S/N14S/NS/N";"11";"41186896";;"regulatorio@alice.com.br";"MATHEUS HERMSDORFF MORAES";"Diretor";4;"2S/N19-11-S/N1"
"417289";"S/N7674593S/NS/NS/N11S/N";"ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA";;"Administradora de Benefícios";"ALAMEDA SANTOS";"1357";"2º e 7º ANDAR";"JARDIM PAULISTA";"São Paulo";"SP";"S/N14199S/N8";"11";"3S/NS/N39499";;"ans@allcare.com.br";"FARIAS PEREIRA DE SOUZA";"DIRETOR PRESIDENTE";1;"2S/N1S/N-S/N5-14"
"417459";"11165556S/NS/NS/N154";"ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.";"ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE";"Administradora de Benefícios";"SCS QD. S/N3 BLOCO A";"LOTE";"1S/N7/111";"ASA SUL";"Brasília";"DF";"7S/N3S/N39S/N7";"61";"3S/N4436S/NS/N";"3S/N443615";"ans@allcare.com.br";"FARIAS PEREIRA DE SOUSA ";"DIRETOR PRESIDENTE";1;"2S/N1S/N-S/N7-16"
"S/NS/NS/N515";"S/N4439627S/NS/NS/N1S/N2";"ALLIANZ SAÚDE S/A";;"Seguradora Especializada em Saúde";"RUA EUGÊNIO DE MEDEIROS";"3S/N3";"7º ANDAR - PARTE";"PINHEIROS";"São Paulo";"SP";"S/N5425S/NS/NS/N";"11";"4S/NS/N15S/N6S/N";;"compliance@allianz.com.br";"REGINA HELENA MENEZES LOPES";"DIRETORA";4;"2S/NS/N1-S/N8-S/N6"
"423262";"45568546S/NS/NS/N181";"ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA";"ALMA ODONTO";"Odontologia de Grupo";"RUA REGENTE FEIJO";"712.S/N";"SALA 93 EDIF JOAO PUPO";"CENTRO";"Campinas";"SP";"13S/N13S/N5S/N";"19";"31994536";;"financeiro@almaodonto.com.br";"RONYSON RODRIGUES RAMOS DE OLIVEIRA";"SÓCIO ADMINISTRADOR";;"2S/N22-S/N5-3S/N"
"419982";"2S/N459346S/NS/NS/N16S/N";"ALPHA DENTAL PLANO DE SAUDE LTDA ME";"DENTALMED";"Odontologia de Grupo";"AVENIDA DAS SIBIPIRUNAS";"2656";"1º ANDAR. SALA S/N3";"SETOR COMERCIAL SUL";"Sinop";"MT";"7855S/NS/N29";"66";"3531S/NS/N7S/N";;;"IVAN DALL"" STELLA COSTA JÚNIOR";"SóCIO GERENTE";5;"2S/N15-12-S/N9"
"42S/N255";"221S/N3116S/NS/NS/N199";"ALTER ADMINISTRADORA DE BENEFICIOS S.A.";;"Administradora de Benefícios";"Alameda Santos";"2441";"4º andar. cjs 41 e 42. sala S/N1";"Cerqueira César";"São Paulo";"SP";"S/N14191S/N1";"11";"39952217";;"dpo@alter.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"ADMINISTRADOR";5;"2S/N16-1S/N-25"
"3448S/NS/N";"62511S/N19S/NS/NS/N15S/N";"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS";"ALVORECER";"Medicina de Grupo";"ALAMEDA SANTOS";"1827";"11 ANDAR SALA 111";"CERQUEIRA CESAR";"São Paulo";"SP";"S/N14199S/N9";"11";"3S/N1694S/N9";;"regulatorio@bluemedsaude.com.br";"SILVIO JOSÉ FERRAZ TAVARES";"PRESIDENTE";4;"1999-S/N1-15"
"424234";"563S/N75S/NS/NS/NS/NS/N125";"AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA";"AMAZIL   ";"Medicina de Grupo";"ESTRADA DO TINDIBA";"163S/N";;"TAQUARA";"Rio de Janeiro";"RJ";"2274S/N362";"21";"999434833";;"leonardo@unimedicasaude.com";"ADEBEEL DE SOUSA AVES";"SOCIO ADMINISTRADOR";;"2S/N24-12-S/N2"
"419S/N52";"16926969S/NS/NS/N128";"AMAZÔNIA PLANOS DE SAÚDE LTDA";"PLANO AMAZÔNIA SAÚDE";"Medicina de Grupo";"TRAVESSA NOVE DE JANEIRO";"1295";;"SÃO BRAZ";"Belém";"PA";"66S/N6S/N575";"91";"3184765S/N";"32495686";"amasaude@amazoniaplanos.com.br";"GILBERTO OSAMU YAMAMOTO";"REPRESENTANTE LEGAL";6;"2S/N13-1S/N-S/N3"
"423351";"46614535S/NS/NS/N153";"AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.";"VIVA VIDA";"Medicina de Grupo";"AVENIDA CALAMA";"2715";"SALA 2715C";"LIBERDADE ";"Porto Velho";"RO";"768S/N3883";"69";"93324444";;"financeiro@operadoravivavida.com.br";"ROMILDA VIANA DE PAES";"SOCIO - ADMINISTRADOR";;"2S/N22-1S/N-S/N3"
"3S/N4531";"17143876S/NS/NS/N19S/N";"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA";"AME-SISTEMA DE SAÚDE 24 HORAS";"Medicina de Grupo";"RUA SAMPAIO";"376";;"CENTRO";"Juiz de Fora";"MG";"36S/N1S/N36S/N";"32";"21S/N156S/NS/N";"321552S/N1";"amesaude24h@terra.com.br";"REGINA MARIA AGUIAR DE SOUZA FELLET";"DIRETORA ADMINISTRATIVA E FINANCEIRA";6;"1998-12-22"
"41333S/N";"S/N4257S/N73S/NS/NS/N114";"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA";"AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA";"Medicina de Grupo";"RUA ARAGUAIA";"13";;"JACAREPAGUA";"Rio de Janeiro";"RJ";"2274527S/N";"21";"391S/N4S/NS/NS/N";;"amep.operadora@uol.com.br";"ANA MARLI VIDEIRA PEIXOTO FAZZINI";"SOCIA GERENTE";4;"2S/NS/N1-S/N3-16"
"394734";"67839969S/NS/NS/N121";"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA";"AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.";"Medicina de Grupo";"RUA UBATU MIRIM";"45";"3º ANDAR";"VILA GEA";"São Paulo";"SP";"S/N4692S/N1S/N";"11";"332197S/NS/N";;"diretoria.financeira@ameplansaude.com.br";"ALI HUSSEIN  IBRAHIN TAHA";"SÓCIO DIRETOR";2;"1998-12-24"
"321338";"84638345S/NS/NS/N165";"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.";"AMERON";"Medicina de Grupo";"AVENIDA CALAMA";"2615";"PRÉDIO";"LIBERDADE";"Porto Velho";"RO";"768S/N3884";"69";"32117199";"32217157";"ouvidoria@ameron.com.br";"PAULO ROBERTO DA SILVA";"PRESIDENTE";5;"1998-12-22"
"4S/N1S/N81";"68668S/N45S/NS/NS/N172";"AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ";"GRUPO CEMERU SAÚDE";"Medicina de Grupo";"RUA FELIPE CARDOSO";"1S/N25";;"SANTA CRUZ";"Rio de Janeiro";"RJ";"2351S/NS/NS/N6";"21";"2414S/NS/N13";;"relacionamento.ans@cemeru.com";"MAURO GOMES DIAS ";"REPRESENTANTE";4;"1999-S/N2-24"
"418587";"15131148S/NS/NS/N132";"AMHA SAUDE S/A";"AMHA SAUDE S/A";"Medicina de Grupo";"RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO";"141";"1º ANDAR";"VILA SANTISTA";"Atibaia";"SP";"12941S/N3S/N";;;;"marcos.carvalho@amha.com.br";"JOSE JAIR JAMES DE ARRUDA PINTO";"DIRETOR ";5;"2S/N12-1S/N-S/N8"
"421731";"2917491S/NS/NS/NS/N172";"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP";"AMHE MED";"Medicina de Grupo";"RUA PEDRO JOSÉ SENGER";"23S/N";;"VILA HARO";"Sorocaba";"SP";"18S/N15S/NS/NS/N";"15";"3S/N351S/N3S/N";;"juridico@amhemed.com.br";"MARCIO ALVES";"Representante Perante ANS";6;"2S/N19-S/N6-13"
"3263S/N5";"293S/N9127S/NS/NS/N179";"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.";"AMIL";"Medicina de Grupo";"Avenida Doutor Chucri Zaidan ";"S/ Nº";"6º. 7º. 8º .9º. 16º. 2S/Nº e 23º  andares ";"VILA FRANCISCO";"São Paulo";"SP";"S/N471113S/N";"21";"38S/N54491";"38S/N51S/N88";"representanteans@amil.com.br";"ALEXANDRE GINO CAMARGO ZORNIG";"REPRESENTANTE LEGAL";1;"1998-12-17"
"325465";"2S/N946877S/NS/NS/N187";"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA";"AMPARA ";"Medicina de Grupo";"PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN";"1S/N7";;"MOCOQUINHA";"São Sebastião do Paraíso";"MG";"37957148";"35";"35393636";"353936S/NS/N";"ampara@ampara.com.br";"ANTONIO CARLOS MAFFEI BRAGIATO";"DIRETOR PRESIDENTE";5;"1998-12-21"
"42272S/N";"41S/N77489S/NS/NS/N187";"AMPLA PLANOS DE SAUDE LTDA";"AMPLA  ";"Medicina de Grupo";"Av. Nilo Peçanha";"5S/N";"Grupo 25S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N2S/N9S/N6";"21";"392354S/N6";;"sidney.junior@amplasaude.com";"SIDNEY STORCH DUTRA JUNIOR";"SOCIO - ADMINISTRADOR";4;"2S/N21-S/N4-S/N6"
"423858";"43S/N47552S/NS/NS/N168";"AMPLITUDE PLANOS DE SAUDE LTDA ";"VYDA SAUDE";"Medicina de Grupo";"RUA INCONFIDÊNCIA ";"488";"SALA 2S/N1";"CENTRO";"Betim";"MG";"3S/N411S/N23";"31";"392354S/N6";;"amaral.diego@gmail.com";"DIEGO ALVES AMARAL ";"SOCIO ADMINISTRADOR ";6;"2S/N23-11-14"
"423319";"45981176S/NS/NS/N1S/NS/N";"ANAFE SAUDE";"ANAFE SAUDE";"Autogestão";"QUADRA S/N2 LOTE S/N3 1º ANDAR PARTE ";"9.S/N";"JARDIM DA BARRAGEM I";"JARDIM DA BARRAGEM I";"Águas Lindas de Goiás";"GO";"7292S/NS/NS/N4";;;;"financeiro@anafesaude.com.br";"FLAVIO MURILO PINTO SIVINI";"DIRETOR- PRESIDENTE";;"2S/N22-S/N8-26"
"421871";"S/N3S/N13779S/NS/NS/N178";"ANGELI SISTEMAS DE SAUDE S.A.";;"Medicina de Grupo";"RODOVIA DO CAQUI";"115S/N";"SALA PRÓXIMA AO PRONTO SOCORRO";"ARAÇATUBA";"Campina Grande do Sul";"PR";"8343S/NS/NS/NS/N";"41";"35154S/N99";;"atendimento@planodesaudeangeli.com.br";"PEDRO ERNESTO CARON";"Presidente";5;"2S/N21-S/N7-29"
"422932";"358S/N8498S/NS/NS/N1S/N6";"APLUS ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA PRESIDENTE VARGAS";"534";"SALA 15S/N1";"CENTRO";"Rio de Janeiro";"RJ";"2S/NS/N71S/NS/NS/N";;;;"contato@aplusadministradora.com.br";"GABRIEL SILVA RODRIGUES";"SOCIO ADMINISTRADOR/REPRE";;"2S/N21-S/N7-29"
"421693";"3S/N9S/N2499S/NS/NS/N193";"AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA";"AQQUER ADMINISTRADORA";"Administradora de Benefícios";"Rua Barão de Melgaço";"2754";"Sala 4S/N6";"Centro";"Cuiabá";"MT";"78S/N2S/N8S/NS/N";"65";"36244416";;"aqquer@aqquer.com.br";"GABRIEL DUTRA";"REPRESENTANTE LEGAL";;"2S/N19-S/N5-24"
"416S/N7S/N";"174697S/N1S/NS/NS/N177";"ARCELORMITTAL BRASIL S/A";"ARCELORMITTAL BRASIL S/A";"Autogestão";"AV. CARANDAI";"1115";;"FUNCIONARIOS";"Belo Horizonte";"MG";"3S/N13S/N915";"27";"33481463";;"beneficios@arcelormittal.com.br";"PATRICIA GARIGLIO DAHER RAYA";"GERENTE DE BENEFICIOS";6;"2S/NS/N7-S/N5-21"
"422941";"41715325S/NS/NS/N138";"ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ARL ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"Rua Visconde de Taunay";"6S/N1.S/N";;"Bom Retiro";"São Paulo";"SP";"S/N1132S/NS/NS/N";"11";"32252193";;"paralegalarl@gmail.com";"ALVARO ANTÔNIO REGIS LEMOS";"Presidente";2;"2S/N21-S/N8-11"
"352152";"S/NS/N7435S/N7S/NS/NS/N135";"ARM PLANOS ODONTOLÓGICOS LTDA.";"ARM ODONTOLOGIA";"Odontologia de Grupo";"RUA LOEFGREEN ";"1291";"CONJUNTO 62";"VILA CLEMENTINO";"São Paulo";"SP";"S/N4S/N4S/NS/N31";"11";"351554S/NS/N";"351554S/NS/N";"alexandre@armodonto.onmicrosoft.com";"ALEXANDRE DE SOUZA MARTINELLI";"DIRETOR";4;"1998-12-21"
"42434S/N";"57267292S/NS/NS/N14S/N";"ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA";"ARTYODONTO BRASIL";"Odontologia de Grupo";"AVENIDA PEDRO PAES DE AZEVEDO";"615";"LOJA S/N3";"GRAGERU";"Aracaju";"SE";"49S/N2557S/N";"79";"9913S/NS/NS/N4S/N";;"artyodontobrasil@artyodontobrasil.com.br";"HÉLCIO CASTRO PEREIRA";"DIRETOR ADMINISTRATIVO E FINANCEIRO";;"2S/N25-S/N2-17"
"417769";"12S/N8S/N518S/NS/NS/N161";"ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA";"ASSISTE ";"Administradora de Benefícios";"RUA JOÃO HIPÓLITO DE AZEVEDO";"18";"SALA 3 - TÉRREO";"CENTRO";"Conceição do Jacuípe";"BA";"44245S/NS/NS/N";"71";"3S/N3811S/NS/N";;"bruno@assisteadministradora.com.br";"BRUNO EDELWEISS";"SÓCIO-ADMINISTRADOR";5;"2S/N1S/N-12-2S/N"
"423912";"532498S/N3S/NS/NS/N14S/N";"ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA";;"Medicina de Grupo";"Rua Presidente Prudente";"267";"2º andar";"Jardim São Paulo";"Guarulhos";"SP";"S/N711S/N14S/N";"11";"49665132";;"administrativo@12deoutubrosaude.com.br";"GISELE ENCARNAÇÃO GUERRERO";"Administradora";6;"2S/N24-S/N3-S/N4"
"325236";"66854779S/NS/NS/N11S/N";"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA";"SÃO MIGUEL SAÚDE";"Medicina de Grupo";"RUA ÁLVARO CORREA BORGES";"43";"ED. GILBERTO MAIDA MELLACE";"VILA DR. EIRAS";"São Paulo";"SP";"S/N8S/N1S/N2S/NS/N";;;;"saomiguelsaude@uol.com.br";"CARLOS ALBERTO FERNANDES MELLACI";"DIRETOR";4;"1998-12-21"
"365297";"S/N1872588S/NS/NS/N136";"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA";"RISO PLANO ODONTOLOGICO";"Odontologia de Grupo";"AVENIDA UNIVERSIDADE";"28";"QUADRA S/N3";"COHAFUMA";"São Luís";"MA";"65S/N7S/N65S/N";;;;"planoriso@planoriso.com.br";"MARCIA CHRISTINA VÉRAS BARBOSA";"DIRETORA TÉCNICA";6;"1998-12-22"
"423432";"47325263S/NS/NS/N134";"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED. EST E/OU FAC PART EM PE";"ADUFEPE SAÚDE";"Autogestão";"Rua Bom Pastor";"43S/N.S/N";"Sala 11";"Iputinga";"Recife";"PE";"5S/N67S/N26S/N";"81";"869S/N3S/N8S/N";;"adufepesaude@gmail.com";"JOSÉ CRISTOVAM MARTINS VIEIRA ";"presidente";;"2S/N22-12-27"
"4S/N9634";"73565319S/NS/NS/N138";"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA";"PRO-SAUDE";"Medicina de Grupo";"RUA SENADOR PINHEIRO MACHADO";"446";;"CENTRO";"Ponta Grossa";"PR";"84S/N4S/N31S/N";;;;"administrador@prosaudeuepg.com.br";"JEANE SILVANE ECKERT";"REPRESENTANTE";6;"1999-11-S/N5"
"36S/N783";"59S/NS/N7799S/NS/NS/N19S/N";"ASSOCIACAO DE SAUDE HOLAMBRA";"ASSOCIAÇÃO DE SAÚDE HOLAMBRA";"Medicina de Grupo";"ALAMEDA MAURÍCIO DE NASSAU";"241";"CX  POSTAL: 13S/N";"CENTRO";"Holambra";"SP";"13825S/NS/NS/N";"19";"38S/N22S/N49";"38S/N22S/N49";"ash@holnet.com.br";"MAURICIO FRANCISCO MARIA KIEVITSBOSCH";"PRESIDENTE";5;"1999-S/N2-S/N3"
"317632";"6263599S/NS/NS/NS/N191";"ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO";"ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP";"Autogestão";"AV. BRIGADEIRO LUIZ ANTONIO";"4843";;"JARDIM PAULISTA";"São Paulo";"SP";"S/N14S/N1S/NS/N2";;;;"ans@afresp.org.br";"ALEXANDRE LANIA GONCALVES";"2ª TESOUREIRO";2;"1998-12-16"
